employee_id,name,age,gender,department,region,category,salary,sales,experience_years,join_date,performance_score,email,status
1,Vihaan Naidu,26.0,Female,Finance,East,A,148121.0,21927,8,2018-10-13,3.2,vihaan.naidu1@example.com,Active
2,Rahul Sharma,48.0,Male,Marketing,North,C,30864.0,19635,8,2023-11-11,4.6,rahul.sharma2@example.com,Inactive
3,Deepika Gupta,57.0,Female,Sales,South,C,130767.0,84723,33,2021-05-02,4.2,deepika.gupta3@example.com,Inactive
4,Aarav Gupta,53.0,Female,Marketing,East,C,117380.0,5173,11,2023-02-20,4.3,aarav.gupta4@example.com,Inactive
5,Harsha Naidu,31.0,Female,Marketing,North,A,39606.0,77834,5,2024-04-29,3.5,harsha.naidu5@example.com,Active
6,Charan Kumar,35.0,Female,Marketing,South,C,149164.0,64414,11,2016-09-21,5.0,charan.kumar6@example.com,Inactive
7,Aisha Rao,,Female,Sales,West,A,63601.0,15237,4,2020-09-21,2.4,aisha.rao7@example.com,Active
8,Arjun Gupta,21.0,Female,Sales,East,B,120990.0,5329,35,2018-10-03,2.7,arjun.gupta8@example.com,Active
9,Aditya Patel,47.0,Male,Operations,West,C,117655.0,41129,9,2025-03-31,3.6,aditya.patel9@example.com,Inactive
10,Lavanya Gupta,44.0,Female,Finance,North,C,112525.0,18827,29,2022-06-30,1.1,lavanya.gupta10@example.com,Inactive
11,Bhavana Rao,40.0,Male,IT,East,C,72579.0,14733,34,2023-02-23,2.5,bhavana.rao11@example.com,Inactive
12,Arjun Naidu,53.0,Male,Finance,South,A,35639.0,26449,17,2021-05-01,1.9,arjun.naidu12@example.com,Inactive
13,Arjun Kumar,56.0,Male,Marketing,East,C,148212.0,76752,31,2018-10-26,2.6,arjun.kumar13@example.com,Active
14,Akash Singh,29.0,Female,IT,North,C,133615.0,7872,23,2024-08-30,2.8,akash.singh14@example.com,Inactive
15,Rohit Kumar,34.0,Male,Finance,West,B,55227.0,66598,16,2024-04-20,4.7,rohit.kumar15@example.com,Inactive
16,Meera Reddy,39.0,Male,Finance,West,B,109357.0,15085,29,2021-06-07,4.1,meera.reddy16@example.com,Inactive
17,Priya Rao,38.0,Female,Marketing,East,A,62560.0,24882,7,2015-03-23,2.7,priya.rao17@example.com,Inactive
18,Keerthi Patel,51.0,Male,Sales,North,B,48553.0,67075,18,2022-11-30,3.3,keerthi.patel18@example.com,Active
19,Rohit Gupta,35.0,Female,IT,North,C,67367.0,2700,31,2022-07-22,1.7,rohit.gupta19@example.com,Active
20,Sneha Singh,31.0,Male,Marketing,East,C,69682.0,13079,6,2019-12-19,3.5,sneha.singh20@example.com,Inactive
21,Mohan Verma,54.0,Male,IT,North,C,81430.0,57709,27,2020-10-19,2.4,mohan.verma21@example.com,Inactive
22,Krishna Verma,34.0,Male,IT,West,C,57285.0,43194,35,2015-05-03,1.2,krishna.verma22@example.com,Active
23,Keerthi Gupta,39.0,Male,Finance,East,A,117942.0,62065,14,2019-08-24,1.9,keerthi.gupta23@example.com,Inactive
24,Aisha Singh,33.0,Male,Sales,South,A,67589.0,61306,22,2021-03-10,3.5,aisha.singh24@example.com,Inactive
25,Suresh Kumar,39.0,Male,Sales,East,C,43857.0,11848,13,2025-10-03,2.5,suresh.kumar25@example.com,Inactive
26,Krishna Rao,29.0,Male,IT,South,B,134073.0,57387,12,2022-06-01,2.6,krishna.rao26@example.com,Active
27,Krishna Reddy,50.0,Male,HR,South,A,77046.0,57531,21,2022-07-13,1.6,krishna.reddy27@example.com,Active
28,Kiran Kumar,46.0,Male,HR,East,A,37596.0,17398,35,2023-11-21,1.0,kiran.kumar28@example.com,Inactive
29,Deepika Gupta,56.0,Female,Operations,East,C,84639.0,1430,22,2020-09-05,4.0,deepika.gupta29@example.com,Inactive
30,Arjun Gupta,32.0,Male,Sales,West,C,126132.0,89916,4,2017-02-24,1.8,arjun.gupta30@example.com,Inactive
